"Exp_ID","UniqueStockID","TrtID_Final","RunBy","till","first.year","initial.SOC","location_name","Can_SOC30","initial.SOC.impute","POLYID","init_active_frac","init_slow_frac","init_passive_frac","mean_c_input"
"E69","E69_CT_CR33","SCO_CT_CR33","treatment","FT",1979,NA,"Scott, Saskatchewan",53.7,53.7,767001,16.6842670736575,30.9967237538704,6.01900917247204,1.6074098850135
"E69","E69_NT_CR34","SCO_NT_CR34","treatment","NT",1979,NA,"Scott, Saskatchewan",53.7,53.7,767001,30.6722397987546,19.3536213896851,3.67413881156029,1.28766114380286
"E69","E69_CT_CR34","SCO_CT_CR34","treatment","FT",1979,NA,"Scott, Saskatchewan",53.7,53.7,767001,16.3752760460931,31.3694675281254,5.95525642578157,1.28766114380286
"E69","E69_NT_CR32","SCO_NT_CR32","treatment","NT",1979,NA,"Scott, Saskatchewan",53.7,53.7,767001,31.0267511385351,18.9864248523751,3.68682400908989,1.95681541634532
"E7","E7_Field 1T1 + E7_Field 2T1 + E7_Field 3T1","SWI_E7_T1_NT_CR1","treatment","NT",1996,47.55746667,"Swift Current, Saskatchewan",46.8,47.55746667,825005,26.2306907265539,17.7595273320787,3.56724861136738,1.49163223627713
"E7","E7_Field 1T2 + E7_Field 2T2 + E7_Field 3T2","SWI_E7_T2_RT_CR2","treatment","RT",1987,57.0806777811667,"Swift Current, Saskatchewan",46.8,57.0806777811667,825005,21.1348147048769,29.9333354216959,6.01252765459386,1.19170778661259
"E7","E7_Field 1T5 + E7_Field 2T5 + E7_Field 3T5 + E7_Field 4T5","SWI_E7_T5_NT_CR4","treatment","NT",1996,47.60030625,"Swift Current, Saskatchewan",46.8,47.60030625,825005,26.2543192301837,17.7755250448498,3.57046197496656,1.58617024974524
"E7","E7_Field 1T5 + E7_Field 2T5 + E7_Field 3T5 + E7_Field 4T5","SWI_E7_T5_RT_CR4","treatment","RT",1987,55.1560932291667,"Swift Current, Saskatchewan",46.8,55.1560932291667,825005,20.422213883171,28.9240755953973,5.80980375059841,1.36972796868182
"E7","E7_Field 1T6","SWI_E7_T6_RT_CR5 + SWI_NT_CR1","stock","RT",1987,56.8718195833333,"Swift Current, Saskatchewan",46.8,56.8718195833333,825005,21.0574824186744,29.8238093485248,5.99052781613405,1.73720389220723
"E7","E7_Field 1T7","SWI_E7_T7_NT_CR5 + SWI_E7_T7_RT_CR5","stock","RT",1987,59.3203387978333,"Swift Current, Saskatchewan",46.8,59.3203387978333,825005,21.964076417053,31.1078226045531,6.24843977622719,1.85584461349658
