"site","POLYID","Freq","experiment","year","input_type","modelled_SOC","init_active_frac","init_slow_frac","init_passive_frac"
"E30_CT","536013",8,"E30",1992,"0-40",47.4,12.4268360070844,27.922092872668,7.05107112024759
"E30_NT","536013",8,"E30",1992,"0-40",41.5,21.5362368484818,15.9387937825001,4.02496936901812
"E31_CT","567006",15,"E31",1999,"0-45",66.8,15.4088378136902,43.6988692664666,7.69229291984313
"E31_NT","567006",15,"E31",1999,"0-45",61.9,29.496665248071,27.5531634016891,4.85017135023987
"E32_CT","568001",15,"E32",1999,"0-45",34.3,7.16834448866483,22.5489671923493,4.58268831898583
"E32_NT","568001",15,"E32",1999,"0-45",35.7,15.8900998766091,16.4638972280714,3.34600289531952
"E33_CT","565019",15,"E33",1999,"0-45",46.6,10.2831252356511,30.7530236641872,5.56385110016167
"E33_NT","565019",15,"E33",1999,"0-45",47.9,22.1423760497279,21.8114808616064,3.94614308866567
"E34_CT","565006",15,"E34",1999,"0-45",46.1,10.0598435326202,28.0092194299402,8.03093703743959
"E34_NT","565006",15,"E34",1999,"0-45",38.3,17.5685518603178,16.1117968666522,4.61965127303
"E35_CT","598001",7,"E35",1997,"0-20",140.4,45.8561270414977,78.6020451533788,15.9418278051234
"E35_NT","598001",7,"E35",1997,"0-20",155.8,92.7877581026001,52.3872243419624,10.6250175554374
"E36_CT","793011",24,"E36",1991,"0-20",93.1,26.3812985956058,54.9494249557866,11.7692764486076
"E36_NT","793011",24,"E36",1991,"0-20",89.9,49.0450424919393,33.6480832870823,7.2068742209784
"E38_CT","793011",9,"E38",1994,"0-20",87.35,25.0194967232676,51.7063518592337,10.6241514174987
"E38_NT","793011",9,"E38",1994,"0-20",95.65,52.5382365077593,35.7634207204291,7.34834277181166
"E4_101","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",78.85,28.721343631639,40.9133601553438,9.2152962130172
"E4_103","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",87.7,31.9449820734907,45.5054113585751,10.2496065679342
"E4_104","793011",44,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",71.3,25.9712340004548,36.9958475469374,8.33291845260782
"E4_105","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",89.3,32.527786763543,46.335612706052,10.436600530405
"E4_106","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",90.1,32.8191891085691,46.7507133797904,10.5300975116405
