"POLYID","year","month","tavg","mappet","irrig"
425023,1990,5,10.4074193548387,0.88397095865914,0
425023,1990,6,17.037,1.1017128445312,0
425023,1990,7,19.6712903225806,0.780660474497294,0
425023,1990,8,19.4383870967742,0.991700293255189,0
425023,1990,9,13.1206666666667,1.50894864515305,0
425023,1990,10,7.71225806451613,3.76144017648638,0
425023,1990,11,0.916666666666667,11.5365481839951,0
425023,1990,12,-7.18483870967742,381.818888736205,0
425023,1991,1,-13.9606451612903,0,0
425023,1991,2,-9.08,0,0
425023,1991,3,-3.50225806451613,22.2679491210264,0
425023,1991,4,6.91333333333333,2.41502048691331,0
425023,1991,5,14.0187096774194,0.859105156799481,0
425023,1991,6,17.4546666666667,0.186411434867539,0
425023,1991,7,19.7241935483871,0.463206310974529,0
425023,1991,8,19.9725806451613,0.902849120754041,0
