"site","TrtID","POLYID","year","sand","cinput","ligfrac","nfrac","till","irrig"
"E13_NT","E13_NT_CR3",692009,1986,0.33,1.53744111653137,0.046,0.009,"NT",0
"E13_NT","E13_NT_CR3",692009,1987,0.33,1.53744111653137,0.046,0.009,"NT",0
"E13_NT","E13_NT_CR3",692009,1988,0.33,1.53744111653137,0.046,0.009,"NT",0
"E13_NT","E13_NT_CR3",692009,1989,0.33,1.53744111653137,0.046,0.009,"NT",0
"E14_CT","E14_CT_CR3",727006,1979,0.17,2.39722129301034,0.046,0.009,"FT",0
"E14_CT","E14_CT_CR3",727006,1980,0.17,2.39722129301034,0.046,0.009,"FT",0
"E14_CT","E14_CT_CR3",727006,1981,0.17,2.39722129301034,0.046,0.009,"FT",0
"E14_CT","E14_CT_CR3",727006,1982,0.17,2.39722129301034,0.046,0.009,"FT",0
"E14_CT","E14_CT_CR3",727006,1983,0.17,2.39722129301034,0.046,0.009,"FT",0
"E14_CT","E14_CT_CR3",727006,1984,0.17,2.39722129301034,0.046,0.009,"FT",0
"E14_CT","E14_CT_CR3",727006,1985,0.17,2.39722129301034,0.046,0.009,"FT",0
"E14_CT","E14_CT_CR3",727006,1986,0.17,2.39722129301034,0.046,0.009,"FT",0
"E14_CT","E14_CT_CR3",727006,1987,0.17,2.39722129301034,0.046,0.009,"FT",0
"E14_CT","E14_CT_CR3",727006,1988,0.17,2.39722129301034,0.046,0.009,"FT",0
"E14_CT","E14_CT_CR3",727006,1989,0.17,2.39722129301034,0.046,0.009,"FT",0
"E14_NT","E14_NT_CR3",727006,1979,0.17,2.12622433738779,0.046,0.009,"NT",0
"E14_NT","E14_NT_CR3",727006,1980,0.17,2.12622433738779,0.046,0.009,"NT",0
"E14_NT","E14_NT_CR3",727006,1981,0.17,2.12622433738779,0.046,0.009,"NT",0
"E14_NT","E14_NT_CR3",727006,1982,0.17,2.12622433738779,0.046,0.009,"NT",0
"E14_NT","E14_NT_CR3",727006,1983,0.17,2.12622433738779,0.046,0.009,"NT",0
"E14_NT","E14_NT_CR3",727006,1984,0.17,2.12622433738779,0.046,0.009,"NT",0
"E14_NT","E14_NT_CR3",727006,1985,0.17,2.12622433738779,0.046,0.009,"NT",0
"E14_NT","E14_NT_CR3",727006,1986,0.17,2.12622433738779,0.046,0.009,"NT",0
"E14_NT","E14_NT_CR3",727006,1987,0.17,2.12622433738779,0.046,0.009,"NT",0
"E14_NT","E14_NT_CR3",727006,1988,0.17,2.12622433738779,0.046,0.009,"NT",0
"E14_NT","E14_NT_CR3",727006,1989,0.17,2.12622433738779,0.046,0.009,"NT",0
"E15_CT_CR1","E15_CT_CR1",754010,1987,0.16,1.6692730911464,0.053,0.007,"FT",0
"E15_CT_CR1","E15_CT_CR1",754010,1988,0.16,0.781313718411552,0.053,0.007,"FT",0
"E15_CT_CR1","E15_CT_CR1",754010,1989,0.16,1.41266849917537,0.053,0.007,"FT",0
"E15_CT_CR1","E15_CT_CR1",754010,1990,0.16,1.83588336933045,0.053,0.007,"FT",0
"E15_CT_CR1","E15_CT_CR1",754010,1991,0.16,2.07929830110055,0.053,0.007,"FT",0
"E15_CT_CR1","E15_CT_CR1",754010,1992,0.16,1.99901445421403,0.053,0.007,"FT",0
