"site","experiment","year","input_type","modelled_SOC"
"E52_CT_CR30","E52",2005,"0-30",76
"E52_CT_CR31","E52",2005,"0-30",76
"E52_CT_CR5","E52",2005,"0-30",76
"E52_NT_CR28","E52",2005,"0-30",89.4
"E52_NT_CR29","E52",2005,"0-30",89.4
"E52_NT_CR30","E52",2005,"0-30",89.4
"E52_NT_CR31","E52",2005,"0-30",89.4
"E52_NT_CR5","E52",2005,"0-30",89.4
"E53_CT_CR1","E53",2004,"0-15",45.6
"E53_CT_CR2","E53",2004,"0-15",45.6
"E53_NT_CR1","E53",2004,"0-15",48
"E53_NT_CR2","E53",2004,"0-15",48
"E54_CT_CR32","E54",2004,"0-15",50.75
"E54_CT_CR33","E54",2004,"0-15",50.75
"E54_CT_CR34","E54",2004,"0-15",50.75
"E54_NT_CR32","E54",2004,"0-15",56.65
"E54_NT_CR33","E54",2004,"0-15",56.65
"E54_NT_CR34","E54",2004,"0-15",56.65
"E55_CT","E55",2005,"0-15",131.65
"E55_NT","E55",2005,"0-15",132.15
"E56_CT","E56",2001,"0-15",99.5
"E56_NT","E56",2001,"0-15",106.1
"E57_CT","E57",2005,"0-15",84.75
"E57_NT","E57",2005,"0-15",88.05
"E58_CT_CR35","E58",2014,"0-30",78.5
"E58_CT_CR5","E58",2014,"0-30",78.5
"E58_NT_CR35","E58",2014,"0-30",76.2
"E58_NT_CR5","E58",2014,"0-30",76.2
"E59_CT","E59",2004,"0-30",68.7
"E59_NT","E59",2004,"0-30",68.9
"E5_Field 1.1_RT_N0P0_CR1","E5",1922,"c(""0-15"", ""15-30"")",66.73425
"E5_Field 1.1_RT_N0P20_CR1","E5",1922,"c(""0-15"", ""15-30"")",66.73425
"E5_Field 1.1_RT_N45P0_CR1","E5",1922,"c(""0-15"", ""15-30"")",66.73425
"E5_Field 1.1_RT_N45P20_CR1","E5",1922,"c(""0-15"", ""15-30"")",66.73425
"E5_Field 1.2_RT_N0P0_CR2","E5",1922,"c(""0-15"", ""15-30"")",55.90657
"E5_Field 1.2_RT_N0P20_CR2","E5",1922,"c(""0-15"", ""15-30"")",55.90657
"E5_Field 1.2_RT_N45P0_CR2","E5",1922,"c(""0-15"", ""15-30"")",55.90657
"E5_Field 1.2_RT_N45P20_CR2","E5",1922,"c(""0-15"", ""15-30"")",55.90657
"E5_Field 1.3_RT_N0P0_CR3","E5",1922,"c(""0-15"", ""15-30"")",47.10005
"E5_Field 1.3_RT_N0P0_CR4","E5",1940,"c(""0-15"", ""15-30"")",46.095085
"E5_Field 1.3_RT_N0P20_CR3","E5",1922,"c(""0-15"", ""15-30"")",47.10005
"E5_Field 1.3_RT_N0P20_CR4","E5",1940,"c(""0-15"", ""15-30"")",46.095085
"E5_Field 1.3_RT_N45P0_CR3","E5",1922,"c(""0-15"", ""15-30"")",47.10005
"E5_Field 1.3_RT_N45P0_CR4","E5",1940,"c(""0-15"", ""15-30"")",46.095085
"E5_Field 1.3_RT_N45P20_CR3","E5",1922,"c(""0-15"", ""15-30"")",47.10005
"E5_Field 1.3_RT_N45P20_CR4","E5",1940,"c(""0-15"", ""15-30"")",46.095085
"E5_Field 2.2_RT_N0P0_CR2","E5",1922,"c(""0-15"", ""15-30"")",55.90657
"E5_Field 2.2_RT_N0P20_CR2","E5",1922,"c(""0-15"", ""15-30"")",55.90657
"E5_Field 2.2_RT_N45P0_CR2","E5",1922,"c(""0-15"", ""15-30"")",55.90657
"E5_Field 2.2_RT_N45P20_CR2","E5",1922,"c(""0-15"", ""15-30"")",55.90657
"E5_Field 2.3_RT_N0P0_CR3","E5",1922,"c(""0-15"", ""15-30"")",47.10005
"E5_Field 2.3_RT_N0P0_CR4","E5",1940,"c(""0-15"", ""15-30"")",46.095085
"E5_Field 2.3_RT_N0P20_CR3","E5",1922,"c(""0-15"", ""15-30"")",47.10005
"E5_Field 2.3_RT_N0P20_CR4","E5",1940,"c(""0-15"", ""15-30"")",46.095085
"E5_Field 2.3_RT_N45P0_CR3","E5",1922,"c(""0-15"", ""15-30"")",47.10005
"E5_Field 2.3_RT_N45P0_CR4","E5",1940,"c(""0-15"", ""15-30"")",46.095085
"E5_Field 2.3_RT_N45P20_CR3","E5",1922,"c(""0-15"", ""15-30"")",47.10005
"E5_Field 2.3_RT_N45P20_CR4","E5",1940,"c(""0-15"", ""15-30"")",46.095085
"E5_Field 3.3_RT_N0P0_CR3","E5",1922,"c(""0-15"", ""15-30"")",47.10005
"E5_Field 3.3_RT_N0P0_CR4","E5",1940,"c(""0-15"", ""15-30"")",46.095085
"E5_Field 3.3_RT_N0P20_CR3","E5",1922,"c(""0-15"", ""15-30"")",47.10005
"E5_Field 3.3_RT_N0P20_CR4","E5",1940,"c(""0-15"", ""15-30"")",46.095085
"E5_Field 3.3_RT_N45P0_CR3","E5",1922,"c(""0-15"", ""15-30"")",47.10005
"E5_Field 3.3_RT_N45P0_CR4","E5",1940,"c(""0-15"", ""15-30"")",46.095085
"E5_Field 3.3_RT_N45P20_CR3","E5",1922,"c(""0-15"", ""15-30"")",47.10005
"E5_Field 3.3_RT_N45P20_CR4","E5",1940,"c(""0-15"", ""15-30"")",46.095085
"E60_CT","E60",2004,"0-30",42.8
"E60_NT","E60",2004,"0-30",43.3
"E61_CT","E61",2004,"0-30",69.9
