"site","POLYID","Freq","experiment","year","input_type","modelled_SOC","init_active_frac","init_slow_frac","init_passive_frac"
"E4_215","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",101,NA,NA,NA
"E4_217","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",96.35,NA,NA,NA
"E4_218","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",93.2,NA,NA,NA
"E4_219","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",95.6,NA,NA,NA
"E4_220","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",97.05,NA,NA,NA
"E4_222","793011",43,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",80.8,NA,NA,NA
"E4_223","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",95.4,NA,NA,NA
"E4_224","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",88.2,NA,NA,NA
"E4_225","793011",40,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",111.1,NA,NA,NA
"E4_226","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",86.9,NA,NA,NA
"E4_227","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",79.15,NA,NA,NA
"E4_228","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",78.55,NA,NA,NA
"E4_229","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",79.85,NA,NA,NA
"E4_301","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",102.6,NA,NA,NA
"E4_302","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",96.2,NA,NA,NA
"E4_303","793011",44,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",78.85,NA,NA,NA
"E4_305","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",94.1,NA,NA,NA
"E4_306","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",98.1,NA,NA,NA
"E4_307","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",88.9,NA,NA,NA
"E4_308","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",89.35,NA,NA,NA
"E4_310","793011",43,"E4",1954,"c(""0-15"", ""15-30"")",100.5,NA,NA,NA
"E4_311","793011",44,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",73.2,NA,NA,NA
"E4_312","793011",43,"E4",1954,"c(""0-15"", ""15-30"")",98.3,NA,NA,NA
"E4_314","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",89.45,NA,NA,NA
"E4_315","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",99.5,NA,NA,NA
"E4_316","793011",44,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",78.4,NA,NA,NA
"E4_317","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",91.9,NA,NA,NA
"E4_318","793011",43,"E4",1954,"c(""0-15"", ""15-30"")",93.8,NA,NA,NA
"E4_320","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",92.55,NA,NA,NA
"E4_322","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",75.65,NA,NA,NA
"E4_323","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",94.6,NA,NA,NA
"E4_325","793011",40,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",97.65,NA,NA,NA
