"site","experiment","TrtID","year","input_type","modelled_SOC"
"E4_111","E4","E4_20_RT_CR3",1974,"c(""0-15"", ""15-30"")",83.4
"E4_111","E4","E4_20_RT_CR3",1985,"c(""0-15"", ""15-30"")",80.7
"E4_111","E4","E4_20_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",100.9
"E4_112","E4","E4_6_RT_CR3",1954,"c(""0-15"", ""15-30"")",89.7
"E4_112","E4","E4_6_RT_CR3",1967,"c(""0-15"", ""15-30"")",84.7
"E4_112","E4","E4_6_RT_CR3",1974,"c(""0-15"", ""15-30"")",73.4
"E4_112","E4","E4_6_RT_CR3",1985,"c(""0-15"", ""15-30"")",74.3
"E4_112","E4","E4_6_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",95.1
"E4_113","E4","E4_10_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",83.35
"E4_114","E4","E4_26_RT_CR5",1954,"c(""0-15"", ""15-30"")",84.6
"E4_114","E4","E4_26_RT_CR5",1967,"c(""0-15"", ""15-30"")",85.5
"E4_114","E4","E4_26_NT_CR5",1974,"c(""0-15"", ""15-30"")",84.1
"E4_114","E4","E4_26_RT_CR5",1985,"c(""0-15"", ""15-30"")",76
"E4_114","E4","E4_26_NT_CR5",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",94
"E4_115","E4","E4_13_RT_CR8",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",81.6
"E4_116","E4","E4_18_RT_CR3",1954,"c(""0-15"", ""15-30"")",88.6
"E4_116","E4","E4_18_RT_CR3",1967,"c(""0-15"", ""15-30"")",85.7
"E4_116","E4","E4_18_RT_CR3",1974,"c(""0-15"", ""15-30"")",76.4
"E4_116","E4","E4_18_RT_CR3",1985,"c(""0-15"", ""15-30"")",73.9
"E4_116","E4","E4_18_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",85.85
"E4_117","E4","E4_11_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",80.6
"E4_118","E4","E4_4_RT_CR3",1954,"c(""0-15"", ""15-30"")",90.6
"E4_118","E4","E4_4_RT_CR3",1967,"c(""0-15"", ""15-30"")",83.7
"E4_118","E4","E4_4_RT_CR3",1974,"c(""0-15"", ""15-30"")",74.7
"E4_118","E4","E4_4_RT_CR3",1985,"c(""0-15"", ""15-30"")",72.7
"E4_118","E4","E4_4_RT_CR3",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",78.8
"E4_119","E4","E4_29_RT_CR10",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",108.5
"E4_120","E4","E4_24_RT_CR5",1954,"c(""0-15"", ""15-30"")",93.6
"E4_120","E4","E4_24_RT_CR5",1967,"c(""0-15"", ""15-30"")",90.4
"E4_120","E4","E4_24_RT_CR5",1974,"c(""0-15"", ""15-30"")",81.7
"E4_120","E4","E4_24_RT_CR5",1985,"c(""0-15"", ""15-30"")",88.7
"E4_120","E4","E4_24_RT_CR5",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",90.45
"E4_121","E4","E4_21_RT_CR5",1954,"c(""0-15"", ""15-30"")",94.3
"E4_121","E4","E4_21_NT_CR5",1967,"c(""0-15"", ""15-30"")",90.6
"E4_121","E4","E4_21_RT_CR5",1974,"c(""0-15"", ""15-30"")",82.9
"E4_121","E4","E4_21_NT_CR5",1985,"c(""0-15"", ""15-30"")",86.3
"E4_121","E4","E4_21_RT_CR5",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",109.9
"E4_122","E4","E4_9_RT_CR2",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",95.95
"E4_123","E4","E4_27_RT_CR12",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",96.05
"E4_124","E4","E4_23_RT_CR5",1954,"c(""0-15"", ""15-30"")",98.9
"E4_124","E4","E4_23_RT_CR5",1967,"c(""0-15"", ""15-30"")",98
"E4_124","E4","E4_23_RT_CR5",1974,"c(""0-15"", ""15-30"")",91.2
"E4_124","E4","E4_23_RT_CR5",1985,"c(""0-15"", ""15-30"")",87.4
"E4_124","E4","E4_23_RT_CR5",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",94.95
"E4_125","E4","E4_28_RT_CR12",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",92.85
"E4_126","E4","E4_15_RT_CR9",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",86.65
